,regime,factor,is_mean,is_p,is_n,confirmed,oos_mean,oos_win_rate,oos_n,fdr_pass
5,nifty_above_50dma:uptrend,ret_5d > -0.3961,-0.014327651512834372,0.5625183522439001,184,False,0.007656290575344478,0.5231895850284785,1229,False
89,nifty_ret_5d:mkt_strong,nifty_ret_1d <= 0.4162,-0.014011225234365399,0.6038164253526003,178,False,0.014928007918956526,0.5036101083032491,554,False
32,nifty_above_50dma:downtrend,rv20 > 23.72,0.013974847918540118,0.43708291111287195,359,False,0.00032161844803236893,0.49613899613899615,1036,False
23,nifty_above_50dma:uptrend,gap_idiosyncratic <= -0.05977,-0.013636339190004653,0.5779559307328183,184,False,0.017464595223749817,0.5296262534184139,1097,False
84,nifty_ret_5d:mkt_strong,dist_prev_high <= -0.9044,-0.013361202947820717,0.5866330440350919,174,False,0.028192381153163786,0.5348148148148149,675,False
18,nifty_above_50dma:uptrend,nifty_ret_1d > 0.162,-0.012937817839298451,0.6039571226784681,182,False,0.008149596387260028,0.5232172470978441,1206,False
31,nifty_above_50dma:downtrend,atr14_pct > 2.138,0.01291459034055341,0.4676703435468562,375,False,0.005596875725999726,0.5,1020,False
41,nifty_above_50dma:downtrend,day_of_week <= 2,0.01240839304874137,0.41263123470371976,489,False,0.0020439652251763893,0.5023847376788553,1258,False
40,nifty_above_50dma:downtrend,zscore_20d <= -0.2588,0.012318475230424345,0.4901300335115681,363,False,-0.007989079225304166,0.478900883218842,1019,False
83,nifty_ret_5d:mkt_strong,rvol_open30 <= 0.5371,-0.012195664129300043,0.6415394569621482,174,False,0.02255253656551383,0.5366666666666666,600,False
6,nifty_above_50dma:uptrend,ret_20d <= -1.057,-0.012035805938141426,0.6129360732215644,184,False,-0.0058026649563961705,0.49380530973451325,1130,False
81,nifty_ret_5d:mkt_strong,range_compression > 0.9904,0.011696549861033164,0.6840483809919955,146,True,0.01689969874356016,0.5261538461538462,650,False
94,nifty_ret_5d:mkt_strong,gap_idiosyncratic <= -0.04716,-0.010732367121714726,0.6754228458926499,174,False,0.025115334659027534,0.5223642172523961,626,False
25,nifty_above_50dma:downtrend,gap_pct > -0.01368,0.010274679643525632,0.5371818738620757,414,False,-0.00020424073529368874,0.4843601895734597,1055,False
27,nifty_above_50dma:downtrend,gap_dir > -1,0.010048605254298888,0.5478800073912821,410,False,0.0010875766344701561,0.4860710854947166,1041,False
42,nifty_above_50dma:downtrend,is_month_end > 0,-0.009839976773112128,0.7543231418628166,129,False,0.01701338769632569,0.5040983606557377,244,False
45,nifty_above_50dma:downtrend,vix_level <= 15.16,0.009810890072468563,0.5510232305279369,419,True,0.02419038326823565,0.5224450811843362,1047,False
47,nifty_above_50dma:downtrend,mkt_gap_median <= -0.02293,0.009147719971734285,0.5785043625285169,415,False,0.0005630315484834629,0.5038986354775828,1026,False
37,nifty_above_50dma:downtrend,dist_prev_high <= -0.8481,0.009115198805710401,0.5837818157925975,414,False,-0.0016466565071752612,0.4995417048579285,1091,False
30,nifty_above_50dma:downtrend,ret_20d <= -0.8679,0.007780158657401982,0.6687056308904902,359,True,0.009680069207217926,0.5072324011571842,1037,False
77,nifty_ret_5d:mkt_strong,ret_20d <= 0.09513,-0.007273908631202962,0.7897977183299316,174,False,0.018786750770687907,0.5027472527472527,728,False
16,nifty_above_50dma:uptrend,zscore_20d <= -0.3952,-0.006937040613085887,0.7695608833716385,184,True,-0.006316218593207212,0.49109653233364575,1067,False
0,nifty_above_50dma:uptrend,(baseline),-0.005378903464539013,0.7559530714515472,368,False,0.004775310758911533,0.5143478260869565,2300,False
