,regime,factor,is_mean,is_p,is_n,confirmed,oos_mean,oos_t,oos_win_rate,oos_n,oos_n_eff,fdr_pass
59,nifty_ret_5d:mkt_weak,dist_prev_high > -0.9119,-0.011395803625120724,0.6603351406930352,142,False,0.016331492939817414,1.19,0.498046875,512,512.0,False
62,nifty_ret_5d:mkt_weak,zscore_20d <= -0.5917,0.01072334181772043,0.713400031612575,119,False,0.029554960409137934,1.83,0.5443645083932853,417,417.0,False
50,nifty_ret_5d:mkt_weak,gap_abs <= 0.9411,-0.00988783454820684,0.7167761710942189,143,False,0.028068635522571283,1.99,0.5489443378119002,521,521.0,False
55,nifty_ret_5d:mkt_weak,rv20 <= 23.2,0.009214794838163148,0.7422545100087445,117,False,0.008343538281153218,0.57,0.5020080321285141,498,498.0,False
51,nifty_ret_5d:mkt_weak,ret_1d <= -0.03769,-0.008870220203052488,0.7541428250335371,143,False,0.04007263299793886,2.93,0.544973544973545,567,567.0,False
67,nifty_ret_5d:mkt_weak,vix_chg_1d > 2.926,-0.008701985641037227,0.7443626573586622,141,False,0.004079443107080387,0.28,0.5154440154440154,518,518.0,False
61,nifty_ret_5d:mkt_weak,up_streak <= 0,-0.008626231167428418,0.7593094448410432,145,False,0.03953835345629134,2.92,0.542608695652174,575,575.0,False
69,nifty_ret_5d:mkt_weak,gap_idiosyncratic <= -0.0224,-0.008526132041667184,0.7499323279304685,143,False,0.028979958860012825,2.03,0.5476190476190477,546,546.0,False
56,nifty_ret_5d:mkt_weak,gap_vs_atr <= 0.4492,0.007219692903774488,0.8016280194894886,125,False,0.029395489486114933,2.12,0.5565862708719852,539,539.0,False
66,nifty_ret_5d:mkt_weak,vix_level > 15.68,-0.006561289743448381,0.8201400239874095,141,False,-0.0014534726673572217,-0.09,0.5206073752711496,461,461.0,False
48,nifty_ret_5d:mkt_weak,(baseline),-0.005407914111380061,0.7697290797948352,285,False,0.023695890882381093,2.39,0.5248161764705882,1088,1088.0,False
10,nifty_above_50dma:uptrend,range_compression > 0.9731,-0.0040007847864565235,0.8803259351463115,143,False,0.011765786801405024,1.18,0.5196706312900274,1093,1093.0,False
