,condition,is_mean,is_win,is_p,is_n,confirmed,oos_mean,oos_t,oos_win_rate,oos_n,oos_n_eff,fdr_pass
7,month_10,-0.04281015001371146,0.45098039215686275,0.17048198063946796,102,False,0.016915418170692528,0.89,0.5109034267912772,321,321.0,False
4,weekday_fri,-0.035352187632682275,0.46153846153846156,0.12702050934696643,195,False,0.0009730158337558459,0.08,0.5230125523012552,717,717.0,False
8,month_12,0.029286883127571252,0.5,0.33827746682512255,104,False,0.01737019061677905,0.87,0.5183823529411765,272,272.0,False
5,month_end_d28p,0.02256528314635997,0.5210084033613446,0.4546869981064192,119,False,0.01145521425488002,0.72,0.545,400,400.0,False
3,weekday_thu,-0.018406335151074413,0.4479166666666667,0.43824255608457496,192,False,0.018756698323312167,1.55,0.5166204986149584,722,722.0,False
6,month_6,0.013031742514403985,0.5,0.7166035238999453,110,False,0.002904144792310819,0.15,0.5311475409836065,305,305.0,False
0,weekday_mon,-0.00998577288566684,0.5059523809523809,0.6958521532511476,168,False,0.01585785623245359,1.36,0.5207792207792208,770,770.0,False
2,weekday_wed,-0.007499953296393784,0.4714285714285714,0.7338403867810547,210,False,0.004747360278244321,0.37,0.5146036161335188,719,719.0,False
1,weekday_tue,-0.005256244134659182,0.47641509433962265,0.8221094797522528,212,False,0.00922595141104933,0.76,0.5216783216783217,715,715.0,False
