combo,n_factors,is_n,is_mean,is_win,is_p,oos_confirmed,oos_is_mean,oos_oos_mean,oos_oos_win_rate,oos_oos_n,fdr_pass
"gap_pct in (0.168, 0.726] AND gap_abs in (0.446, 0.745]",2,103,0.07050820001823761,0.6407766990291263,0.03745550268457413,False,0.07050820001823761,0.012517994225330275,0.5045045045045045,444,False
"vix_chg_1d in (-67.51400000000001, -27.152] AND vix_level in (8.999, 11.226]",2,143,0.054301097413022484,0.6013986013986014,0.05554097978112571,False,0.054301097413022484,0.0025227125294498276,0.5,512,False
"atr14_pct in (2.297, 2.812] AND rv20 in (26.927, 40.228]",2,122,0.042703409698092276,0.5573770491803278,0.18119580384413667,False,0.042703409698092276,0.007446623561973636,0.5300207039337475,483,False
"gap_abs in (0.446, 0.745] AND gap_vs_atr in (0.205, 0.348]",2,190,0.03929048325444921,0.5736842105263158,0.12068540709774905,False,0.03929048325444921,0.008605284518395522,0.5006242197253433,801,False
